epoch,accuracy,loss,val_accuracy,val_loss
0,0.3663800060749054,2.8894550800323486,0.4431999921798706,2.647117853164673
1,0.4855000078678131,2.5410101413726807,0.5163000226020813,2.4650371074676514
2,0.5450599789619446,2.360421657562256,0.5679000020027161,2.2676801681518555
3,0.5941399931907654,2.207864284515381,0.5995000004768372,2.1746883392333984
4,0.6301599740982056,2.0869088172912598,0.6270999908447266,2.098468542098999
5,0.6576600074768066,1.9870275259017944,0.6299999952316284,2.0537798404693604
6,0.682919979095459,1.8997161388397217,0.6632000207901001,1.9371927976608276
7,0.7056199908256531,1.8115530014038086,0.6654999852180481,1.903030276298523
8,0.720740020275116,1.7417570352554321,0.6674000024795532,1.8823790550231934
9,0.7391999959945679,1.6645387411117554,0.695900022983551,1.7942301034927368
10,0.7591400146484375,1.5947462320327759,0.6822999715805054,1.8331522941589355
11,0.7752199769020081,1.5313655138015747,0.6891000270843506,1.798153281211853
12,0.7915599942207336,1.4661225080490112,0.7063999772071838,1.7187010049819946
13,0.8058599829673767,1.4094300270080566,0.7142000198364258,1.6947498321533203
14,0.8197600245475769,1.3535891771316528,0.7056999802589417,1.7069519758224487
15,0.8358799815177917,1.2941635847091675,0.7128000259399414,1.6850619316101074
16,0.8485999703407288,1.2423161268234253,0.7128999829292297,1.69320547580719
17,0.8608400225639343,1.1907176971435547,0.7059000134468079,1.7230254411697388
18,0.8759400248527527,1.1378560066223145,0.7135999798774719,1.7018994092941284
19,0.8880400061607361,1.0891423225402832,0.703499972820282,1.7524287700653076
